Word	Part-Of-Speech	Weight	Frequency
朴次茅斯港	n_new	10.69	4
可燃冰	n_new	10.66	10
战略欺骗	n_new	10.65	6
平静下来	n_new	10.64	5
黑客攻击	n_new	10.64	5
世界政党	n_new	10.59	7
落地生根	n_new	10.57	6
呆湾	n_new	10.45	6
稳步推进	n_new	10.41	8
大中型航母	n_new	10.36	3
确权	n_new	10.36	3
出租车公司	n_new	10.36	3
联络员单位	n_new	10.36	3
正确义利观	n_new	10.36	3
平民住房	n_new	10.36	3
白酒产业	n_new	10.36	3
专属活动	n_new	10.36	3
对付中国	n_new	10.36	3
渗透率	n_new	10.36	3
文化展厅	n_new	10.36	3
损管	n_new	10.36	6
智能电网	n_new	10.36	3
探戈音乐	n_new	10.36	3
中小微	n_new	10.36	3
东道国政府	n_new	10.36	3
整体打捞	n_new	10.36	3
乳制品企业	n_new	10.36	3
受众群体	n_new	10.36	3
质变具有	n_new	10.36	3
未知领域	n_new	10.36	3
恐慌性	n_new	10.36	6
花旗银行	n_new	10.36	3
透支未来	n_new	10.36	3
自持力	n_new	10.36	3
太平洋岛国	n_new	10.36	3
西安交大	n_new	10.36	3
破冰船反应堆	n_new	10.36	3
淮滨论坛	n_new	10.36	3
旋翼	n_new	10.34	11
辉煌中国	n_new	10.34	10
主力战机	n_new	10.24	10
国防大臣	n_new	10.24	6
热播	n_new	10.24	5
大学校长	n_new	10.19	4
首席经济学家	n_new	10.19	4
加紧推进	n_new	10.19	4
法新社报道	n_new	10.19	4
冰雪项目	n_new	10.19	2
和平方舟	n_new	10.19	2
实务	n_new	10.19	4
糖税	n_new	10.19	2
空置率	n_new	10.19	4
点心债	n_new	10.19	2
超级战神	n_new	10.19	4
不良信息	n_new	10.11	6
直面问题	n_new	10.11	6
城市化率	n_new	10.11	6
机队规模	n_new	10.09	7
中央部委	n_new	10.09	5
长效机制	n_new	10.09	5
战略意图	n_new	10.09	5
刊文	n_new	10.08	9
船重工	n_new	10.01	52
干部职工	n_new	9.95	5
德狮	n_new	9.94	19
太极爱好者	n_new	9.94	5
网络借贷	n_new	9.94	5
段位制	n_new	9.94	5
走向深蓝	n_new	9.92	17
小康社会	n_new	9.86	12
时代楷模	n_new	9.82	4
砥砺奋进	n_new	9.82	20
建档立卡贫困户	n_new	9.81	3
翘楚	n_new	9.81	8
土地所有权	n_new	9.79	7
微纪录片	n_new	9.63	9
二维	n_new	9.59	18
中国船舶重工集团公司	n_new	9.51	16
肉羊养殖	n_new	9.49	7
蛮子	n_new	9.30	8
核心价值观	n_new	9.22	17
和平积习	n_new	9.20	2
代用航母	n_new	9.20	2
变态下载	n_new	9.20	2
局部性	n_new	9.15	7
自动续期	n_new	9.07	4
动员大会	n_new	9.05	5
国际博览会	n_new	9.05	5
沦为负	n_new	8.96	12
办学机构	n_new	8.87	7
先导计划	n_new	8.86	5
身躯庞大	n_new	8.86	10
单车包围	n_new	8.80	5
正式更名	n_new	8.79	3
导航系统	n_new	8.75	12
跨越式发展	n_new	8.72	8
出让金	n_new	8.70	8
心灵品质	n_new	8.69	12
绞吸	n_new	8.65	15
舰队司令	n_new	8.57	4
真格基金	n_new	8.57	4
者亡	n_new	8.57	4
滞空	n_new	8.57	4
者昌	n_new	8.57	4
老挝万象	n_new	8.55	6
负翁	n_new	8.52	12
丽水农产品	n_new	8.50	9
禅武	n_new	8.50	9
航母舰	n_new	8.47	8
现代ix35	n_new	8.46	37
外交官项目	n_new	8.45	8
非对称	n_new	8.40	5
半瘫痪	n_new	8.30	7
主承销	n_new	8.30	12
地质调查	n_new	8.26	3
团一行	n_new	8.26	3
河北省分行	n_new	8.26	3
通胀目标	n_new	8.26	6
职业战绩	n_new	8.26	3
起重设备	n_new	8.26	9
内容创作者	n_new	8.26	3
氮化物材料	n_new	8.26	3
控制出入	n_new	8.26	3
纳斯达克指数	n_new	8.26	3
甲板边缘	n_new	8.26	3
头部信息	n_new	8.26	3
吃水深度	n_new	8.26	3
孵化扶植	n_new	8.26	6
转发量	n_new	8.26	3
衢州机场	n_new	8.26	3
颜值	n_new	8.26	3
厨艺	n_new	8.26	6
传到甲	n_new	8.26	3
乳业	n_new	8.26	3
杠杆毒药	n_new	8.26	3
原文链接	n_new	8.26	3
直接投资额	n_new	8.26	4
军事评论家	n_new	8.26	4
利益最大化	n_new	8.26	4
南航新疆	n_new	8.26	6
浙江籍	n_new	8.26	4
海军元帅	n_new	8.26	4
龙城项目	n_new	8.26	4
朔源	n_new	8.26	4
吹响	n_new	8.25	5
炒作盛行	n_new	8.21	6
标准足球场	n_new	8.19	7
外汇流出	n_new	8.16	8
牢记使命	n_new	8.12	3
动工建造	n_new	8.12	3
折射中国	n_new	8.12	3
整备计划	n_new	8.12	3
工行河南省	n_new	8.12	11
评论车型	n_new	8.10	32
知情人士	n_new	8.10	5
海军中将	n_new	8.07	4
赌博工具	n_new	8.07	4
随机分布	n_new	8.07	4
称霸海洋	n_new	8.07	4
商业内幕	n_new	8.07	4
